Ranking Method,Positions,Sector Rule,Regime Schedule,CAGR,Max DD,Profit Factor,Calmar,Win Rate,Trades,Avg Trade %,Avg Exposure %,>100% Wins,Max Winner %
Monthly RSI,3,Unrestricted,Fixed 100% Exposure,-1.1843869467542234,-56.1698846190996,1.1894693394399014,-0.02108579988700018,26.190476190476193,42,2.0214172847307563,77.40306565511976,2,153.79361058112357
Monthly RSI,3,Unrestricted,Regime Schedule 1 (100/70/30),21.056975902559927,-46.21350329426668,5.172359780374771,0.45564552352758525,37.93103448275862,29,29.5376439370545,73.09910447159861,4,376.21555021515564
Monthly RSI,3,Max 2 / Sector,Fixed 100% Exposure,-1.1843869467542234,-56.1698846190996,1.1894693394399014,-0.02108579988700018,26.190476190476193,42,2.0214172847307563,77.40306565511976,2,153.79361058112357
Monthly RSI,3,Max 2 / Sector,Regime Schedule 1 (100/70/30),21.056975902559927,-46.21350329426668,5.172359780374771,0.45564552352758525,37.93103448275862,29,29.5376439370545,73.09910447159861,4,376.21555021515564
Monthly RSI,5,Unrestricted,Fixed 100% Exposure,16.690728256142194,-51.2370040856685,3.0066261257027596,0.32575535111762627,33.33333333333333,60,18.550041124855582,76.87696592733835,4,595.1899626129455
Monthly RSI,5,Unrestricted,Regime Schedule 1 (100/70/30),19.359109790808148,-29.614961874336664,5.042863732603708,0.6536935577683153,43.75,48,24.84755879415131,72.40110537098695,5,376.21555021515564
Monthly RSI,5,Max 2 / Sector,Fixed 100% Exposure,12.194490499052701,-38.26308719475568,2.0532063206997644,0.31870116587780384,32.30769230769231,65,10.12554888520334,77.75128725403299,4,401.69456783908464
Monthly RSI,5,Max 2 / Sector,Regime Schedule 1 (100/70/30),21.596294071834343,-29.69364033142781,5.740104962448141,0.7273036862703823,46.808510638297875,47,28.343344513375058,72.12184494789264,6,376.21555021515564
Monthly RSI,7,Unrestricted,Fixed 100% Exposure,17.06128709051493,-48.81633922757925,3.0689239652234486,0.34949951922810296,38.46153846153847,78,18.132110916714506,78.3055213108078,6,595.1899626129455
Monthly RSI,7,Unrestricted,Regime Schedule 1 (100/70/30),17.484219075576778,-33.61603296970997,4.761159997729901,0.5201154785673577,40.625,64,28.988470474895465,71.70014968361376,8,454.4246971641728
Monthly RSI,7,Max 2 / Sector,Fixed 100% Exposure,19.733824940873458,-48.76776492013521,3.9591602745314276,0.40464895147831076,39.726027397260275,73,28.19671830390036,76.9800018368596,9,595.1899626129455
Monthly RSI,7,Max 2 / Sector,Regime Schedule 1 (100/70/30),20.494097335664407,-28.353809158180294,5.767375790073356,0.7227987330143858,44.44444444444444,63,34.66421404956846,71.67117144030234,10,454.4246971641728
Monthly RSI,10,Unrestricted,Fixed 100% Exposure,17.02669270087651,-44.087736715407324,3.3387603305948947,0.38620019917979137,40.0,105,22.157261772196907,77.66361422164145,11,595.1899626129455
