date,baseline,eviction_at_45_days,eviction_at_60_days,eviction_at_90_days
2019-03-13,10858648.85,10858648.85,10858648.85,10858648.85
2019-03-14,10769031.89,10769031.89,10769031.89,10769031.89
2019-03-15,10765044.72,10765044.72,10765044.72,10765044.72
2019-03-18,10675997.05,10675997.05,10675997.05,10675997.05
2019-03-19,10763715.66,10763715.66,10763715.66,10763715.66
2019-03-20,10683021.87,10683021.87,10683021.87,10683021.87
2019-03-22,10780993.42,10780993.42,10780993.42,10780993.42
2019-03-25,10781942.23,10781942.23,10781942.23,10781942.23
2019-03-26,10763905.42,10763905.42,10763905.42,10763905.42
2019-03-27,10777575.53,10777575.53,10777575.53,10777575.53
2019-03-28,10728020.11,10728020.11,10728020.11,10728020.11
2019-04-01,10667643.17,10667643.17,10667643.17,10667643.17
2019-04-02,10630998.81,10630998.81,10630998.81,10630998.81
2019-04-03,10588088.67,10588088.67,10588088.67,10588088.67
2019-04-04,10647516.8,10647516.8,10647516.8,10647516.8
2019-04-05,10645808.22,10645808.22,10645808.22,10645808.22
2019-04-08,10745488.36,10745488.36,10745488.36,10745488.36
2019-04-09,10729349.16,10729349.16,10729349.16,10729349.16
2019-04-10,10738462.82,10738462.82,10738462.82,10738462.82
2019-04-11,10714729.52,10714729.52,10714729.52,10714729.52
2019-04-12,10698591.05,10698591.05,10698591.05,10698591.05
2019-04-15,10638339.04,10638339.04,10638339.04,10638339.04
2019-04-16,10665617.3,10665617.3,10665617.3,10665617.3
2019-04-18,10636276.16,10636276.16,10636276.16,10636276.16
2019-04-22,10640637.08,10640637.08,10640637.08,10640637.08
2019-04-23,10619822.95,10619822.95,10619822.95,10619822.95
2019-04-24,10630767.48,10630767.48,10630767.48,10630767.48
2019-04-25,10710338.09,10710338.09,10710338.09,10710338.09
2019-04-26,10697952.19,10697952.19,10697952.19,10697952.19
2019-04-30,10707311.64,10707311.64,10707311.64,10707311.64
2019-05-02,10571043.39,10571043.39,10571043.39,10571043.39
2019-05-03,10562076.46,10562076.46,10562076.46,10562076.46
2019-05-06,10515288.13,10515288.13,10515288.13,10515288.13
2019-05-07,10481195.2,10481195.2,10481195.2,10481195.2
2019-05-08,10479112.26,10479112.26,10479112.26,10479112.26
2019-05-09,10437995.45,10437995.45,10437995.45,10437995.45
2019-05-10,10420923.76,10420923.76,10420923.76,10420923.76
2019-05-13,10421457.48,10421457.48,10421457.48,10421457.48
2019-05-14,10344507.48,10344507.48,10344507.48,10344507.48
2019-05-15,10362986.18,10362986.18,10362986.18,10362986.18
