date,futures_1.0x,futures_1.25x,futures_1.5x,futures_1.75x,futures_2.0x,futures_2.5x,futures_3.0x
2020-09-23,12883702.383472221,13307107.131874518,13730364.537743112,14153448.437417585,14576332.496773958,15421394.915592548,16265337.774605567
2020-09-24,12693396.683676524,13068627.468298594,13443611.956329698,13818326.398858838,14192746.893625513,14940609.672867114,15687006.064737432
2020-09-25,12760667.085582044,13153107.83436599,13545589.14341123,13938084.499472193,14330567.203391675,15115386.93848202,15899831.099815667
2020-09-28,12872224.879214209,13294674.354877422,13718137.696530372,14142583.363545436,14567979.54594769,15421494.879958449,16278423.893422652
2020-09-29,12851591.299625391,13268054.130168488,13690623.600090744,14109573.365423415,14529259.039805759,15260281.01020099,16074796.719404712
2020-09-30,12891737.839655835,13316693.387247236,13750567.189147735,14177510.380689373,14604656.665216673,15348462.071949694,16173943.098344855
2020-10-01,13006129.468096651,13460406.81040394,13932931.470715001,14391650.903572582,14851007.548674844,15704021.309023023,16608479.779235646
2020-10-05,12953784.818079052,13395230.889178738,13848875.158650886,14293762.866881747,14739376.55698631,15493915.359048523,16352422.015227318
2020-10-06,12980716.86916675,13429575.413282264,13892593.948399547,14345816.019448094,14800098.063511655,15575943.881663471,16454812.662755795
2020-10-07,13073797.775591988,13549609.134985154,14026542.569269763,14506720.848371541,14989294.335094664,15864958.272042932,16819985.17813005
2020-10-08,13143464.020104842,13636792.420254588,14079095.882956289,14566355.337067142,15055577.40000398,15793555.579452448,16718898.54070923
2020-10-09,12925597.812145222,13358686.055408115,13737357.497801814,14159591.483021144,14581527.929227483,15260055.210059151,16056816.85205875
2020-10-12,13085966.84969826,13563539.529531486,13936496.438600732,14396220.476395447,14856899.49924086,15594566.644665211,16471517.777326867
2020-10-13,12991293.827044513,13443496.663848437,13785572.137287624,14217637.496793032,14649986.008343065,15345074.201143388,16164906.484389514
2020-10-14,12947264.156485572,13388270.319837691,13726068.986612447,14148280.315660391,14570851.057037253,15258984.021538008,16063119.917240724
2020-10-15,12798114.758971907,13198200.047548395,13504345.773946166,13884928.484036814,14264565.04850931,14972421.674340688,15710635.142727388
2020-10-16,12997155.256604243,13450213.108803984,13762131.916864298,14188498.428886004,14614774.927573692,15235783.454615057,16024526.815932326
2020-10-19,12979089.124967031,13431334.143486539,13744849.934731375,14173606.191422515,14603821.37130681,15033572.47833709,15786626.864932649
2020-10-20,13028184.758319123,13495669.295617897,13809144.940203208,14252239.897182737,14697878.580622219,14972711.089067481,15713771.050192438
2020-10-21,12990349.337872578,13446714.596232893,13772372.153372295,14207875.720842762,14645519.894785153,15065092.14948003,15830318.42783108
2020-10-22,13102412.193362733,13587233.230624294,13973568.700543148,14444403.999941926,14917925.893053953,15415732.265533024,16257706.612112168
2020-10-23,13207436.816779671,13722126.814754918,14117261.298610821,14616315.99788035,15119303.578824157,15708261.755343273,16625330.36786022
2020-10-26,13139166.799387384,13637635.372901706,14059329.638640279,14551518.207511555,15048496.181740442,15413945.516707774,16267933.815678425
2020-10-27,13498049.365378862,14085399.751094239,14575288.533099294,15151595.073505212,15732186.939300278,16465356.715970848,17536797.43052665
2020-10-28,13391146.528222527,13950606.34888896,14417258.719563931,14965822.077277113,15518307.811358359,16247265.719954778,17274032.635993257
2020-10-29,13388653.164017117,13947447.512744423,14381448.40137716,14922862.316727147,15467890.672132943,16275766.315492783,17310603.421343744
2020-10-30,13424099.903840251,13994271.32827015,14452165.558152098,15009366.7271294,15571377.120623957,16219590.754346348,17244145.894653402
